symbol,scale_factor,median_close_raw,median_close_scaled
IRCTC,1.0,754.5,754.5
IREDA,1.0,172.11000061035156,172.11000061035156
IRFC,1.0,126.88999938964844,126.88999938964844
ITC,1.0,432.6499938964844,432.6499938964844
ITCHOTELS,1.0,214.25,214.25
ITI,1.0,278.42999267578125,278.42999267578125
J&KBANK,1.0,102.69000244140625,102.69000244140625
JBCHEPHARM,1.0,1654.0999755859375,1654.0999755859375
JBMA,1.0,701.2750244140625,701.2750244140625
JINDALSAW,1.0,228.9499969482422,228.9499969482422
JINDALSTEL,1.0,868.3499755859375,868.3499755859375
JIOFIN,1.0,308.1499938964844,308.1499938964844
JKCEMENT,10.0,4216.75,421.675
JKTYRE,1.0,353.5,353.5
JMFINANCIL,1.0,94.98999786376953,94.98999786376953
JPPOWER,1.0,15.84000015258789,15.84000015258789
JSL,1.0,633.0499877929688,633.0499877929688
JSWENERGY,1.0,500.8999938964844,500.8999938964844
JSWINFRA,1.0,296.75,296.75
JSWSTEEL,1.0,887.25,887.25
JUBLFOOD,1.0,558.5999755859375,558.5999755859375
JUBLINGREA,1.0,534.1500244140625,534.1500244140625
JUBLPHARMA,1.0,706.0999755859375,706.0999755859375
JWL,1.0,347.8999938964844,347.8999938964844
JYOTHYLAB,1.0,363.1499938964844,363.1499938964844
JYOTICNC,1.0,1059.0,1059.0
KAJARIACER,1.0,1225.199951171875,1225.199951171875
KALYANKJIL,1.0,414.8999938964844,414.8999938964844
KARURVYSYA,1.0,163.9583282470703,163.9583282470703
KAYNES,10.0,3304.10009765625,330.410009765625
KEC,1.0,724.4000244140625,724.4000244140625
KEI,10.0,3380.25,338.025
KFINTECH,1.0,729.0999755859375,729.0999755859375
KIMS,1.0,423.3599853515625,423.3599853515625
KIRLOSBROS,1.0,1573.300048828125,1573.300048828125
KIRLOSENG,1.0,833.9500122070312,833.9500122070312
KOTAKBANK,10.0,1821.5,182.15
KPIL,1.0,1124.800048828125,1124.800048828125
KPITTECH,1.0,1310.0999755859375,1310.0999755859375
KPRMILL,1.0,839.2999877929688,839.2999877929688
KSB,1.0,731.9199829101562,731.9199829101562
LALPATHLAB,10.0,2599.5,259.95
LATENTVIEW,1.0,426.29998779296875,426.29998779296875
LAURUSLABS,1.0,433.79998779296875,433.79998779296875
LEMONTREE,1.0,130.52999877929688,130.52999877929688
LICHSGFIN,1.0,573.0499877929688,573.0499877929688
LICI,1.0,853.7999877929688,853.7999877929688
LINDEINDIA,10.0,6191.0,619.1
LLOYDSME,1.0,777.9500122070312,777.9500122070312
LODHA,1.0,1152.5,1152.5
LT,10.0,3460.60009765625,346.060009765625
LTF,1.0,152.4499969482422,152.4499969482422
LTFOODS,1.0,362.1999969482422,362.1999969482422
LTIM,10.0,5191.0,519.1
LTTS,10.0,4517.7998046875,451.77998046875
LUPIN,1.0,1624.550048828125,1624.550048828125
M&M,10.0,2522.64990234375,252.264990234375
M&MFIN,1.0,275.6000061035156,275.6000061035156
MAHABANK,1.0,50.95000076293945,50.95000076293945
MAHSCOOTER,10.0,8047.0498046875,804.70498046875
MAHSEAMLES,1.0,648.0999755859375,648.0999755859375
MANAPPURAM,1.0,178.9499969482422,178.9499969482422
MANKIND,10.0,2288.800048828125,228.8800048828125
MANYAVAR,1.0,1162.949951171875,1162.949951171875
MAPMYINDIA,1.0,1767.6500244140625,1767.6500244140625
MARICO,1.0,594.5499877929688,594.5499877929688
MARUTI,10.0,11509.900390625,1150.9900390625
MAXHEALTH,1.0,852.9500122070312,852.9500122070312
MAZDOCK,1.0,1518.425048828125,1518.425048828125
MCX,10.0,3839.449951171875,383.9449951171875
MEDANTA,1.0,1097.699951171875,1097.699951171875
METROPOLIS,1.0,1684.550048828125,1684.550048828125
MFSL,1.0,1004.0499877929688,1004.0499877929688
MGL,1.0,1286.949951171875,1286.949951171875
MINDACORP,1.0,428.20001220703125,428.20001220703125
MMTC,1.0,65.30000305175781,65.30000305175781
MOTHERSON,1.0,84.5999984741211,84.5999984741211
MOTILALOFS,1.0,720.0999755859375,720.0999755859375
MPHASIS,10.0,2491.0,249.1
MRF,100.0,125251.296875,1252.51296875
MRPL,1.0,133.33999633789062,133.33999633789062
MSUMI,1.0,40.733333587646484,40.733333587646484
MUTHOOTFIN,1.0,1708.1500244140625,1708.1500244140625
NAM-INDIA,1.0,551.0999755859375,551.0999755859375
NATCOPHARM,1.0,867.1500244140625,867.1500244140625
NATIONALUM,1.0,172.05999755859375,172.05999755859375
NAUKRI,1.0,1225.0400390625,1225.0400390625
NAVA,1.0,259.17498779296875,259.17498779296875
NAVINFLUOR,10.0,3994.64990234375,399.464990234375
NBCC,1.0,87.83000183105469,87.83000183105469
NCC,1.0,211.77000427246094,211.77000427246094
NESTLEIND,1.0,1166.4000244140625,1166.4000244140625
NETWEB,10.0,1823.800048828125,182.3800048828125
NEULANDLAB,10.0,7139.7001953125,713.97001953125
NEWGEN,1.0,871.5,871.5
NH,1.0,1249.75,1249.75
NHPC,1.0,80.4000015258789,80.4000015258789
NIACL,1.0,186.27999877929688,186.27999877929688
NIVABUPA,1.0,81.41000366210938,81.41000366210938
NLCINDIA,1.0,227.74000549316406,227.74000549316406
NMDC,1.0,68.11000061035156,68.11000061035156
NSLNISP,1.0,44.900001525878906,44.900001525878906
NTPC,1.0,330.8500061035156,330.8500061035156
NTPCGREEN,1.0,105.77000045776367,105.77000045776367
NUVAMA,10.0,5900.824951171876,590.0824951171876
NUVOCO,1.0,351.3500061035156,351.3500061035156
NYKAA,1.0,169.3000030517578,169.3000030517578
OBEROIRLTY,1.0,1540.800048828125,1540.800048828125
OFSS,10.0,7858.39990234375,785.839990234375
OIL,1.0,396.3333435058594,396.3333435058594
OLAELEC,1.0,58.85500144958496,58.85500144958496
OLECTRA,1.0,1289.25,1289.25
ONESOURCE,1.0,1813.800048828125,1813.800048828125
ONGC,1.0,238.9499969482422,238.9499969482422
PAGEIND,100.0,40541.55078125,405.4155078125
PATANJALI,1.0,531.6500244140625,531.6500244140625
PAYTM,1.0,752.0499877929688,752.0499877929688
PCBL,1.0,279.79998779296875,279.79998779296875
PERSISTENT,10.0,4216.22509765625,421.622509765625
PETRONET,1.0,279.6499938964844,279.6499938964844
PFC,1.0,403.1000061035156,403.1000061035156
PFIZER,10.0,4343.0498046875,434.30498046875
